,AuthenticateCount,ActiveCount,DisconnectCount,CPUUtil,MemoryUsed,MemoryFree,TempMin,TempMax,TempAvg,InBandwidth,OutBandwidth,InTotalPPS,OutTotalPPS
AuthenticateCount,1.0,0.08527876462655727,0.03314547039769965,0.11895171595112419,-0.03561027870314635,0.026897795408485168,0.05580709057276749,0.03686515926678804,0.05392749802505282,0.07134727267228669,0.07161261310031075,0.07537900229869281,0.07575811625333964
ActiveCount,0.08527876462655727,1.0,0.2997901992007805,0.829652788329659,0.051359560916760465,-0.02972312656904692,0.37753000409045323,0.5561869687073498,0.5823133238283372,0.7791225457608064,0.775142115142749,0.8042395360762721,0.8013232630180075
DisconnectCount,0.03314547039769965,0.2997901992007805,1.0,0.31079693848867496,-0.04914046670136072,0.0179961507707359,0.15083502663518475,0.14985187290413976,0.18340290583250476,0.23249540620258755,0.23251721950188148,0.23966151983630626,0.2404124881799584
CPUUtil,0.11895171595112419,0.829652788329659,0.31079693848867496,1.0,0.025418398478497983,-0.04896427504991322,0.3683919166391376,0.4892367928212249,0.5234856560062006,0.5808043440941453,0.5778725157953654,0.607508336779356,0.605994559284126
MemoryUsed,-0.03561027870314635,0.051359560916760465,-0.04914046670136072,0.025418398478497983,1.0,-0.9635703743230813,0.02704914442212194,0.3674506696487206,0.26412275322845474,-0.01306335862305941,-0.020680322820652464,0.0018304068928819473,-0.008097844434349449
MemoryFree,0.026897795408485168,-0.02972312656904692,0.0179961507707359,-0.04896427504991322,-0.9635703743230813,1.0,-0.06993367799486264,-0.32869207148667917,-0.26755361982273096,0.022234768358038025,0.028208956207613912,0.010844246677228992,0.018457224521062573
TempMin,0.05580709057276749,0.37753000409045323,0.15083502663518475,0.3683919166391376,0.02704914442212194,-0.06993367799486264,1.0,0.5089671911634323,0.7015945940665449,0.25880108880199987,0.25843297069491256,0.26861599519123175,0.2694336057552632
TempMax,0.03686515926678804,0.5561869687073498,0.14985187290413976,0.4892367928212249,0.3674506696487206,-0.32869207148667917,0.5089671911634323,1.0,0.9210571531959529,0.3457062889492623,0.33868525978857583,0.3712972027041936,0.36390895288884445
TempAvg,0.05392749802505282,0.5823133238283372,0.18340290583250476,0.5234856560062006,0.26412275322845474,-0.26755361982273096,0.7015945940665449,0.9210571531959529,1.0,0.40753537259896827,0.4037663975442814,0.42789080085024983,0.42444188927395027
InBandwidth,0.07134727267228669,0.7791225457608064,0.23249540620258755,0.5808043440941453,-0.01306335862305941,0.022234768358038025,0.25880108880199987,0.3457062889492623,0.40753537259896827,1.0,0.9997876213216446,0.9959391746296488,0.9962004617723359
OutBandwidth,0.07161261310031075,0.775142115142749,0.23251721950188148,0.5778725157953654,-0.020680322820652464,0.028208956207613912,0.25843297069491256,0.33868525978857583,0.4037663975442814,0.9997876213216446,1.0,0.9951660750882424,0.9958615895384014
InTotalPPS,0.07537900229869281,0.8042395360762721,0.23966151983630626,0.607508336779356,0.0018304068928819473,0.010844246677228992,0.26861599519123175,0.3712972027041936,0.42789080085024983,0.9959391746296488,0.9951660750882424,1.0,0.9996991534563454
OutTotalPPS,0.07575811625333964,0.8013232630180075,0.2404124881799584,0.605994559284126,-0.008097844434349449,0.018457224521062573,0.2694336057552632,0.36390895288884445,0.42444188927395027,0.9962004617723359,0.9958615895384014,0.9996991534563454,1.0
